split,threshold,threshold_label,tp,fp,fn,precision,recall,f1,selected
val,0.1,0.10,90,71,270,0.5590062111801242,0.25,0.345489443378119,False
val,0.11,0.11,90,50,270,0.6428571428571429,0.25,0.36,False
val,0.12,0.12,90,29,270,0.7563025210084033,0.25,0.3757828810020877,False
val,0.13,0.13,90,16,270,0.8490566037735849,0.25,0.38626609442060084,False
val,0.14,0.14,90,5,270,0.9473684210526315,0.25,0.39560439560439564,False
val,0.15,0.15,90,3,270,0.967741935483871,0.25,0.3973509933774834,False
val,0.16,0.16,90,2,270,0.9782608695652174,0.25,0.3982300884955753,True
val,0.17,0.17,89,1,271,0.9888888888888889,0.24722222222222223,0.3955555555555556,False
val,0.18,0.18,82,1,278,0.9879518072289156,0.22777777777777777,0.3702031602708804,False
