method,camera_frame,window_frames,rolling_precision,rolling_recall,rolling_f1,cumulative_fp,source_mode,detail_available
radar_bounded_crops,119,1,0.6666666666666666,0.2222222222222222,0.3333333333333333,1,prediction_jsonl,True
radar_bounded_crops,120,2,0.5555555555555556,0.2777777777777778,0.3703703703703704,4,prediction_jsonl,True
radar_bounded_crops,121,3,0.5384615384615384,0.25925925925925924,0.35000000000000003,6,prediction_jsonl,True
radar_bounded_crops,122,4,0.5,0.25,0.3333333333333333,9,prediction_jsonl,True
radar_bounded_crops,123,5,0.5,0.24444444444444444,0.3283582089552239,11,prediction_jsonl,True
radar_bounded_crops,124,6,0.48148148148148145,0.24074074074074073,0.3209876543209876,14,prediction_jsonl,True
radar_bounded_crops,125,7,0.4838709677419355,0.23809523809523808,0.3191489361702127,16,prediction_jsonl,True
radar_bounded_crops,126,8,0.4857142857142857,0.2361111111111111,0.3177570093457944,18,prediction_jsonl,True
radar_bounded_crops,127,9,0.5,0.24691358024691357,0.3305785123966942,20,prediction_jsonl,True
radar_bounded_crops,128,10,0.5,0.24444444444444444,0.3283582089552239,22,prediction_jsonl,True
radar_bounded_crops,129,11,0.4897959183673469,0.24242424242424243,0.32432432432432434,25,prediction_jsonl,True
radar_bounded_crops,130,12,0.48148148148148145,0.24074074074074073,0.3209876543209876,28,prediction_jsonl,True
radar_bounded_crops,131,13,0.4827586206896552,0.23931623931623933,0.32,30,prediction_jsonl,True
radar_bounded_crops,132,14,0.49206349206349204,0.24603174603174602,0.328042328042328,32,prediction_jsonl,True
radar_bounded_crops,133,15,0.4925373134328358,0.24444444444444444,0.3267326732673267,34,prediction_jsonl,True
radar_bounded_crops,134,15,0.4925373134328358,0.24444444444444444,0.3267326732673267,35,prediction_jsonl,True
radar_bounded_crops,135,15,0.49230769230769234,0.23703703703703705,0.32,37,prediction_jsonl,True
radar_bounded_crops,136,15,0.49230769230769234,0.23703703703703705,0.32,39,prediction_jsonl,True
radar_bounded_crops,137,15,0.5079365079365079,0.23703703703703705,0.32323232323232326,40,prediction_jsonl,True
radar_bounded_crops,138,15,0.5161290322580645,0.23703703703703705,0.3248730964467005,41,prediction_jsonl,True
radar_bounded_crops,139,15,0.5333333333333333,0.23703703703703705,0.3282051282051282,42,prediction_jsonl,True
radar_bounded_crops,140,15,0.5423728813559322,0.23703703703703705,0.32989690721649484,43,prediction_jsonl,True
radar_bounded_crops,141,15,0.5517241379310345,0.23703703703703705,0.3316062176165803,44,prediction_jsonl,True
radar_bounded_crops,142,15,0.5535714285714286,0.22962962962962963,0.32460732984293195,45,prediction_jsonl,True
radar_bounded_crops,143,15,0.5636363636363636,0.22962962962962963,0.3263157894736842,46,prediction_jsonl,True
radar_bounded_crops,144,15,0.5849056603773585,0.22962962962962963,0.32978723404255317,47,prediction_jsonl,True
radar_bounded_crops,145,15,0.6078431372549019,0.22962962962962963,0.3333333333333333,48,prediction_jsonl,True
radar_bounded_crops,146,15,0.6326530612244898,0.22962962962962963,0.33695652173913043,48,prediction_jsonl,True
radar_bounded_crops,147,15,0.6382978723404256,0.2222222222222222,0.32967032967032966,49,prediction_jsonl,True
radar_bounded_crops,148,15,0.6666666666666666,0.2222222222222222,0.3333333333333333,49,prediction_jsonl,True
radar_bounded_crops,149,15,0.6666666666666666,0.2222222222222222,0.3333333333333333,50,prediction_jsonl,True
radar_bounded_crops,150,15,0.6976744186046512,0.2222222222222222,0.33707865168539325,50,prediction_jsonl,True
radar_bounded_crops,151,15,0.7142857142857143,0.2222222222222222,0.3389830508474576,51,prediction_jsonl,True
